date,company,trip_count,fare_amount
2015-01-01,2,4196,12.781101049
2015-01-01,1,3264,12.737346814
2015-01-02,1,3202,12.53766396
2015-01-02,2,3464,12.132505774
2015-01-03,1,3764,11.856867694
2015-01-03,2,4181,11.881248505
2015-01-04,1,3098,12.838137508
2015-01-04,2,3329,13.021477921
2015-01-05,1,3488,12.055332569
2015-01-05,2,3722,12.659725954
2015-01-06,1,3386,11.935307147
2015-01-06,2,3874,11.968895199
2015-01-07,1,3871,11.747352105
2015-01-07,2,4399,11.56831098
2015-01-08,1,3986,12.012920221
2015-01-08,2,4555,12.059055982
2015-01-09,2,4404,12.053587648
2015-01-09,1,4065,12.113407134
2015-01-10,2,5241,11.487168479
2015-01-10,1,4814,11.517552971
2015-01-11,2,4290,12.14032634
2015-01-11,1,3782,12.057773665
2015-01-12,2,3972,12.254657603
2015-01-12,1,3551,12.433683469
2015-01-13,2,4384,12.36462135
2015-01-13,1,3950,12.262911392
2015-01-14,1,3974,12.283090086
2015-01-14,2,4469,12.380622063
2015-01-15,2,4550,12.578846154
2015-01-15,1,4072,12.771549607
2015-01-16,2,4756,12.492746005
2015-01-16,1,4387,12.502963301
2015-01-17,2,4877,11.543059258
2015-01-17,1,4396,11.625568699
2015-01-18,1,3925,11.917834395
2015-01-18,2,4365,11.572909507
2015-01-19,1,3127,12.15414135
2015-01-19,2,3520,12.585227273
2015-01-20,1,3656,12.18380744
2015-01-20,2,4031,12.512361697
2015-01-21,2,4437,12.081023214
2015-01-21,1,3924,11.937181448
2015-01-22,1,4011,12.148840688
2015-01-22,2,4491,12.282453796
2015-01-23,1,4349,12.264198666
2015-01-23,2,4738,12.341758126
2015-01-24,2,4858,11.129168382
2015-01-24,1,4066,11.358076734
2015-01-25,1,3858,12.269569725
2015-01-25,2,4305,12.298373984
2015-01-26,2,2259,12.218459495
2015-01-26,1,2086,12.409395973
2015-01-27,2,1583,9.197094125
2015-01-27,1,1063,9.587488241
2015-01-28,1,3303,12.143960036
2015-01-28,2,3799,12.33982627
2015-01-29,1,3749,13.073086156
2015-01-29,2,4259,12.946701104
2015-01-30,2,5001,12.383023395
2015-01-30,1,4271,12.460196675
2015-01-31,1,4759,11.555736499
2015-01-31,2,5513,11.726918193
2015-02-01,1,3824,12.172594142
2015-02-01,2,4427,12.202563813
2015-02-02,2,3593,12.047314222
2015-02-02,1,2823,11.805880269
2015-02-03,2,4210,13.162707838
2015-02-03,1,3585,13.194281729
2015-02-04,1,3697,13.002434406
2015-02-04,2,4089,13.038762534
2015-02-05,2,4624,12.871215398
2015-02-05,1,4141,12.778072929
2015-02-06,1,4267,12.723576283
2015-02-06,2,4727,12.77945843
2015-02-07,2,5040,11.872916667
2015-02-07,1,4478,11.875837427
2015-02-08,1,3810,12.130446194
2015-02-08,2,4299,12.312398232
2015-02-09,2,3890,11.393701799
2015-02-09,1,3456,11.601128472
2015-02-10,1,3853,12.440825331
2015-02-10,2,4317,12.625144776
2015-02-11,2,4488,12.744095365
2015-02-11,1,3904,12.6296875
2015-02-12,2,4540,13.16784141
2015-02-12,1,4007,13.347454455
2015-02-13,2,4710,13.872717622
2015-02-13,1,4168,13.998860365
2015-02-14,2,5067,12.427866588
2015-02-14,1,4488,12.511920677
2015-02-15,2,4617,11.970976825
2015-02-15,1,4008,12.063872255
2015-02-16,1,3709,12.164195201
2015-02-16,2,4454,11.958015267
2015-02-17,1,3556,12.93068054
2015-02-17,2,4072,12.717092338
2015-02-18,2,4325,13.000231214
2015-02-18,1,3887,12.952534088
2015-02-19,1,4237,12.766344111
2015-02-19,2,4728,12.631239425
2015-02-20,1,4470,12.776565996
2015-02-20,2,4917,12.541285337
2015-02-21,2,4710,12.244798301
2015-02-21,1,3959,12.335564536
2015-02-22,2,4205,12.63686088
2015-02-22,1,3603,12.580627255
2015-02-23,1,3753,12.916266986
